the_quote
"Isn&apos;t it a remarkable coincidence almost everyone has the same religion as their parents? And it always just happens to be the right religion. Religions run in families. If we&apos;d been brought up in ancient Greece we would all be worshipping Zeus and Apollo. If we had been born Vikings we would be worshipping Wotan and Thor.-Richard Dawkins"
"I contend that we are both atheists. I just believe in one fewer god than you do. When you understand why you dismiss all the other possible gods, you will understand why I dismiss yours.-Stephen Roberts"
"If people are good only because they fear punishment, and hope for reward, then we are a sorry lot indeed.-Albert Einstein"
"Calling Atheism a religion is like calling bald a hair color.-Don Hirschberg"
"An atheist is a man who has no invisible means of support.-John Buchan"
"No philosophy, no religion, has ever brought so glad a message to the world as this good news of Atheism.-Annie Wood Besant"
"It is said that men may not be the dreams of the Gods, but rather that the Gods are the dreams of men.-Carl Sagan"
"It may be that our role on this planet is not to worship God, but to create him.-Arthur C. Clarke"
"I distrust those people who know so well what God wants them to do because I notice it always coincides with their own desires.-Susan B. Anthony"
"Is God willing to prevent evil, but not able? Then he is not omnipotent. Is he able, but not willing? Then he is malevolent. Is he both able and willing? Then whence cometh evil? Is he neither able nor willing? Then why call him God?-Epicurus"
"God is not dead. He is alive and working on a much less ambitious project.&quot; -Graffito"
"Don&apos;t you know there ain&apos;t no devil, it&apos;s just god when he&apos;s drunk.-Tom Waits"
"You know your god is man-made when he hates all the same people you do.-[from Usenet]"
"If it turns out that there is a God, I don&apos;t think that he&apos;s evil. But the worst that you can say about him is that basically he&apos;s an underachiever.-Woody Allen"
"Religion is the sigh of the oppressed creature, the heart of a heartless world, &amp; the soul of soulless conditions. It is the opium of the people.-Karl Marx"
"Organized religion is a sham and a crutch for weak-minded people-Jesse Ventura"
"Humanity without religion is like a serial killer without a chainsaw.-unknown"
"We must respect the other fellow&apos;s religion, but only in the sense and to the extent that we respect his theory that his wife is beautiful and his children smart.-H. L. Mencken"
"Faith is believing something you know ain&apos;t true.-Mark Twain"
"The way to see by faith is to shut the eye of reason.-Benjamin Franklin"
"The church says the earth is flat, but I know that it is round, for I have seen the shadow on the moon, and I have more faith in a shadow than in the church.-Ferdinand Magellan"
